新聞來源,新聞日期,新聞標題,新聞內容,KEYWORD,ARTIWORD
自由時報,11月22日,高虹安助理費事件 黃國昌：未有吹哨者與保護協會聯絡,時代力量前黨主席黃國昌今（22日）到高雄為黨籍市議員林于凱助選，被問及最近高虹安助理費事件及傳言背後有「宣董」下指導棋的看法，黃國昌說，他目前是台灣公益揭弊暨吹哨者保護協會理事長，但這件案子沒有任何吹哨者與協會聯絡。黃國昌指出，台灣公益揭弊暨吹哨者保護協會過去處理非常多弊案，都有吹哨者與他們直接接觸，所有人提供的資料都會進一步求證，採取最適當的處理方式，從來不是靠傳言、耳語，更不是靠著報紙在辦案。黃國昌進一步說明，對於高虹安委員的案子，根本沒有任何吹哨者與他們協會聯絡，吹哨者可能認為跟中國國民黨聯絡比較有用，就交由中國國民黨和檢調好好處理。此外，選前超級星期天，黃國昌現身力挺無黨籍台北市長候選人黃珊珊，加拿大約克大學副教授沈榮欽直言，受害最大的無疑是時代力量的台北市議員候選人，他批黃國昌和柯文哲同台不僅是選舉助講，也是加入團隊的宣告。對此，黃國昌反批沈榮欽為了民進黨的利益，過去寫了很多宣傳的文章，如果連林智堅論文的抄襲都可以站出來護行的話，這種學者的評論沒什麼好回應的。,"['吹哨', '高虹安', '助理費', '黃國昌', '保護協會', '聯絡']","['聯絡', '黨籍', '傳言', '台灣', '協會', '沈榮欽', '公益', '案子', '前黨', '市議員', '林于凱', '宣董', '指導棋', '弊案', '資料', '耳語', '報紙', '辦案', '委員', '身力']"
鏡周刊,11月22日,【決戰北桃竹3】高虹安助理費風暴反應兩極　藍白合不合流左右選局,民眾黨新竹市長候選人高虹安，近日遭控涉嫌詐領助理費，打亂先前的選舉步調，民眾黨幕僚直言，助理費案讓團隊一度節奏大亂，「涉貪形象在年輕族群部分的確有傷。」甚至高的心情也受不少影響，目前策略就是定調「交由司法釐清」，至於案情細節則不再一一解釋，以免發言一旦出現破綻，將成為對手猛攻的素材。儘管助理費風暴纏身，但民眾黨內觀察，從論文抄襲、資策會到助理費案，竹市多數選民已留下「綠營追殺高虹安」的厭惡印象，有助高虹安爭取中間選民支持，加上國民黨候選人林耕仁發動攻擊助理費案後又急踩煞車，更促使「藍白合」在藍營基層自動發酵，19日柯文哲、高虹安新竹合體造勢，不僅國民黨籍的竹市副議長余邦彥現身，高營更宣稱近6成里長到場力挺，大秀藍白自然整合倒綠的陸戰肌肉，增添黨內對竹市勝選的信心。不過，不少親柯及黨內人士私下坦言，高捲入涉貪疑雲，從柯或黨的立場看是「頭已經洗下去」，為避免全台九合一選情崩盤，現在當然要力挺到底，但因檢調在選後勢必會啟動高虹安助理費案的調查程序，無論高當選與否，都會是2024大選的一顆未爆彈，高能證明無罪當然最好，否則調查過程中的搜索、傳喚等動作，不僅會對黨造成傷害，萬一高在總統大選前夕遭起訴，無疑更直接重挫柯及民眾黨立委選情，「現在民眾黨只能全力一搏、先求勝選，但選後真正的難題才要開始！」民眾黨對新竹市抱有希望，國民黨則陷入棄保輿論的窘境，國民黨候選人林耕仁選情嚴重受衝擊，近日地方流傳一份重量級地方人士的「棄保說」，指其理念已和林耕仁背道而馳，難再為林輔選，盼市民可以選最好的市長，別讓民進黨再幹下去，被解讀成力挺高虹安。國民黨新竹地方黨部雖在第一時間澄清是假訊息，但棄保耳語恐已在地方擴散，新竹縣長楊文科、國民黨竹北市長林為洲近日也和高虹安合體，讓林耕仁處境更是艱困。在藍白的亂流中，民進黨新竹市長候選人沈慧虹則乘勢追擊，新竹民進黨人士指出，高陣營欲營造里長支持、基層擁戴的形象，其實手法跟2018年以無黨籍參選的謝文進如出一轍，當時謝營也頻挖藍營里長，營造「藍營兵變」氛圍，楊文科更忽略當時國民黨提名的許明財，與謝文進座談，棄保論同樣被傳得沸沸揚揚。不過最後開票結果，林智堅得票4成9，許明財2成7，謝文進才2成；對照今年選舉，國民黨候選人被棄保論調再起，高虹安又比4年前的謝文進多了科技界與年輕選票支持，但經過競選過程的一連串檢驗，相信選民心中自會有所選擇。,"['決戰', '高虹安', '助理費', '風暴', '反應兩極', '藍白', '選局', '合流']","['新竹', '竹市', '選民', '選情', '謝文進', '基層', '過程', '市長', '保論', '地方', '人士', '形象', '團隊', '節奏', '細節', '風暴', '論文', '資策', '藍營', '造勢']"
新頭殼newtalk,11月22日,四叉貓曝高虹安辦公室小故事 前助理稱｢超愛喝可樂｣：喝不到會生氣,網紅「四叉貓」劉宇多次針對民眾黨與其政治人物在臉書爆料，近期更是將砲火集中對準民眾黨新竹市長候選人高虹安。對於高虹安助理案相關爭議，四叉貓21日晚間到22日凌晨又連發數篇貼文分享高虹安立委辦公室的「小故事」，其中包括「超愛喝可樂」、「叫助理創幾個google假信箱寄信給NCC檢舉媒體」、「辦公室發生『不止一次』性平事件」、引起網友議論。四叉貓透過臉書分享他從3個曾在高虹安辦公室工作的助理們口中聽到的八卦小故事，他們向四叉貓透露，被捲入涉詐領助理費的高虹安男友「Jack」李忠庭自行找了一個助理來負責替高虹安擋酒，這個助理「除了要幫按摩和做水晶指甲，還得每天把高虹安畫成大家認得的樣子，但薪水卻是全辦公室最低。」面試成功後「會寄一封信給助理，內容註明：『薪資屬本辦營業秘密事項，不得揭露予任何人』」。四叉貓提到，高虹安辦公室每週都有「貼文績效獎金」1000元發給寫文讚數最高的小編，後來「攻城師都拿不到以後，高虹安就不發惹。」高虹安也曾感嘆「我們怎麼會『淪落到』被邱臣遠嘲笑這個會期公聽會辦的那麼少？」另外，高虹安辦公室內部傳出某主任為了追辦公室一個小妹妹，幫她代寫論文。而且辦公室「發生『不止一次』性平事件，所以高虹安用黨團名義辦理性平講座，（委託賴香伶負責接洽講者）然後辦理性平講座的理由：『避免發生林奕華辦公室事件』」。四叉貓並指出，高虹安第一次被旅美教授翁達瑞質疑論文，接獲線報有一群記者在堵她，高虹安崩潰在地下停車場躲記者群不敢上去，還叫助理拿文件去地下給她簽，最後急call JACK開車來帶走她。此外，翁達瑞的論文事件，讓高虹安非常氣憤，她想叫NCC去處理那些媒體，但立委私下叫NCC處理媒體很難看，為了顧面子，所以叫助理創幾個google假信箱，再寄信給NCC檢舉。四叉貓也引述前助理指稱高虹安「超愛喝可樂」，但是每個月的飲料經費有限，因此有幾罐會被「貼封條」，避免高虹安想喝的時候沒得喝生氣。四叉貓還附上前助理提供的群組聊天截圖，可以看到群組內貼出4罐可樂貼上封條的照片，發公告提醒「為避免同仁喝可樂喝到委員想喝時沒得喝，這4罐列為戰備庫存，請同仁勿喝。若要拆封飲用前，請先去合作社買一箱新的來，確保安全存量為荷。」形同喝一罐要買一箱回來。對此，網友紛紛留言表示：「這篇後勁好強」、「第一次看到可樂貼封條的」、「可樂是多貴？還是有多難買啊？」、「可樂是多貴？還是有多難買啊？」、「新竹市府的公務員皮皮挫」、「怕員工吃，怕員工喝，很怕被員工佔便宜，所以先拼命佔員工便宜」，不過也有網友直言：「個人認為這些爆料會有反效果！」、「真無聊這個也要說，來聊聊棒球場比較實際」，四叉貓則留言回覆：「我就喜歡聊聊小情小愛小八卦咩」。,"['四叉貓', '高虹安', '辦公室', '小故事', '愛喝可樂', '生氣', '助理']","['媒體', '網友', '性平', '翁達瑞', '記者', '群組', '員工', '信箱', '爆料', '同仁', '八卦', '皮皮', '理性', '網紅', '數篇貼', '議論', '李忠庭', '樣子', '薪資屬本', '辦營業']"
聯合報,11月22日,高虹安助理費爭議 黃國昌：吹哨者沒來跟我接觸,民眾黨新竹市長候選人高虹安助理費事件持續延燒，前時代力量立委黃國昌22日到高雄陪同黨市議員林于凱車掃拜票時，被問到相關看法，他回應，自己是台灣公益揭弊暨吹哨者保護協會理事長，很多弊案都是吹哨者來接觸，但針對高虹案事件，目前沒有任何吹哨者來跟協會聯絡。他說，「可能吹哨者覺得跟中國國民黨提出會比較有用，那就交由國民黨和檢調依法處理。」黃國昌之前被問到對高虹安助理費爭議，曾表示「藍綠白若違法濫權，本人及政黨都要出來說明。」他今天則說，過去協會處理很多弊案，都有吹哨者來主動接觸，依據提供的資料求證後，採取最適當的處理方式，不會靠傳言、耳語甚至新聞報導來辦案，「至於高紅安的事，沒有任何吹哨者跟協會聯絡。」黃國昌加碼爆料說，高雄有很多銀髮族以及剛出社會年輕人遭到詐騙，這些詐騙集團有通天本領，可以繼續作出違法的事情，受害人跑來向市議員林于凱求助，協會派了三名調查員下來調查兩周，目前已將所有事證交給高雄地檢署，雖無法針對相關案情公開說明，但仍呼籲掌握權力的檢調單位趕快採取必要行動，不要讓高雄鄉親繼續受到詐騙，保護好市民權益。至於上周日黃國昌幫台北市長候選人黃珊珊站台，學者沈榮欽在臉書發文，指將影響時力台北市議員選情，黃國昌面對媒體詢問時表示，該名教授之前為了民進黨利益，寫了蠻多宣傳文章，「如果連林智堅論文都可以站出來護航，這種學者的評論其實沒有什麼好回應的」。,"['吹哨', '高虹安', '助理費', '爭議', '黃國昌', '接觸']","['協會', '高雄', '議員', '林于凱', '弊案', '聯絡', '學者', '名教授', '黨市', '台灣', '高虹案', '藍綠白', '政黨', '資料', '傳言', '耳語', '新聞報', '辦案', '高紅安', '加碼']"
三立新聞網,11月22日,高虹安助理得幫做美甲？雞排妹曝跟助理對話截圖：一晚16000、勸這事,網紅「四叉貓」劉宇針對民眾黨立委高虹安助理案相關爭議，21日晚連發18篇文，爆料高虹安立委辦公室的「小故事」，引發熱議。提到高虹安「超愛喝可樂」、「Jack找助理幫做水晶指甲」等，最令網友好奇；藝人雞排妹也秀出自己跟助理對話截圖，並勸高虹安們一件事情四叉貓21日晚邀約3個曾在高虹安辦公室工作的助理一起喝酒，並「實時連載」從助理們口中聽到的八卦小故事。前助理向四叉貓透露，被捲入涉詐領助理費的高虹安男友Jack，找了一個助理來負責替高擋酒，「這個助理除了要幫按摩和做水晶指甲，還得每天把老闆畫成大家認得的樣子，但薪水卻是全辦公室最低。」另，前助理還透露高虹安「超愛喝可樂」，但飲料經費有限，因此有幾罐會被「貼封條」，避免高想喝的時候沒得喝生氣。雞排妹鄭家純今（22）天則是發文寫道，昨天早睡，天才看到昨晚的精彩連載，她貼出自己十月初跟助理的對話，在討論員工旅遊的地點，「一間房好像$16000左右」。雞排妹說，提醒各位有請「助理」的老闆，會需要請助理就代表，需要幫忙的地方很多元、複雜又辛苦。助理得具備的處理事情能力與功能，肯定是比應徵單一職位的員工還多。薪資不能比照一般上班族，這是最重要的。「並且長期相處下來，助理一定會聽到很多秘密。總不可能在車上講電話時叫他立刻下車吧」。雞排妹後來也貼出多張員工旅遊的照片，她說，建議各位高虹安們，下次員工旅遊可以去山野森活，至少不會被爆料什麼「四瓶可樂和新竹做臉的美容師都不行」。,"['助理', '高虹安', '雞排妹', '對話截圖', '美甲']","['員工', '爆料', '網紅', '熱議', '藝人', '樣子', '飲料', '鄭家純', '對話', '地點', '比應徵', '職位', '薪資', '建議', '森活', '新竹', '事情', '薪水', '男友', '山野']"
三立新聞網,11月22日,Jack找助理幫高虹安按摩做水晶指甲？這次王浩宇挺她：均合乎法律,網紅「四叉貓」劉宇21日晚連發18篇文，爆料民眾黨立委高虹安國會辦公室的「小故事」，前助理提到高虹安「超愛喝可樂」、「Jack找助理幫做水晶指甲」等，最令人好奇，前民進黨籍桃園市議員王浩宇則說，助理是行使立委要求工作，因此做假指甲、按摩、化妝均合乎法律。四叉貓在臉書寫下，【18歲生日的第一晚】，約了三個助理一起喝酒，聽聽八卦，聊些小情小愛，「今晚酒錢我出，故事讓你們講」，之後他接連爆了18個【辦公室小情小愛小故事】。第一個就是「JACK找了一個助理負責擋酒，這個助理除了要幫按摩和做水晶指甲，還得每天把老闆畫成大家認得的樣子。（薪水全辦公室最低）」。四叉貓還寫道，「老闆有一次換了空氣瀏海髮型，警衛認不出來把她攔下來，導致老闆回辦公室後氣噗噗」。王浩宇則說，助理是行使立委要求工作，因此做假指甲、按摩、化妝均合乎法律。,"['Jack', '高虹安', '水晶指甲', '王浩宇', '按摩', '助理', '法律']","['化妝', '指甲', '行使', '網紅', '國會', '前民', '黨籍', '桃園', '市議員', '情小', '小情', '小愛', '樣子', '空氣', '警衛', '法律', '爆料', '薪水', '八卦', '故事']"
三立新聞網,11月22日,連爆18個高虹安辦公室故事 林智群揭四叉貓單日通告費收入,針對民眾黨新竹市長候選人高虹安助理案相關爭議，網紅「四叉貓」劉宇昨（21）日晚間連發數篇文，爆料高虹安立委辦公室的「小故事」，還附上前助理提供的Line群組截圖畫面。對此，林智群律師在臉書寫下「面試高虹安」。林智群律師昨天跟四叉貓一起上政論節目，兩個人還合照，他貼出照片稱「我根本就是櫻桃小臉」、「希望大家多注意我的專業，而不是討論我跟四叉貓的特別性關係。」今（22）天一早，林智群律師則是發文寫道，大家昨天晚上看了四叉貓講古了嗎？「當四叉貓跟我說他通告費一天賺了1萬5，說晚上要跟助理加s吃飯，我就知道有鬼故事（誤，是溫馨小故事）可以聽了。面試高虹安」。網友則是回文表示，「政治劇深夜連載，還好貓貓沒讓大家通宵」、「高爆料他的果凍老闆寫一整本書，貓零零散散只透露這麼一點。還有很大的落差」、「辛苦一整天才一萬五，政論節目的嘉賓酬勞很少欸。三個節目，五個小時，坐在那邊一整天嘴巴講到累死」、「林冠年那邊也有料可看，最好笑的就是：助理把果凍送的柚子分給警衛，高小姐發飆」、「先準備可樂在旁邊壓壓驚」、「我比較好奇高小姐如果要提告告的成嗎？」,"['高虹安', '辦公室', '林智群', '四叉貓', '單日通告費', '故事', '收入']","['林智群', '政論', '節目', '爆料', '大家', '小姐', '整本', '網紅', '群組', '畫面', '櫻桃', '專業', '網友', '果凍', '賓酬', '警衛', '發飆', '壓壓', '柚子', '新竹']"
ETTODAY,11月22日,四叉貓夜會高虹安前助理！狂發「辦公室小故事」　網暴動求出書,民眾黨新竹市長候選人高虹安助理費爭議連環爆，網紅「四叉貓」劉宇21日晚間與高虹安三位前助理一起喝酒後，連夜發出18篇文，爆料高虹安立委辦公室的「小故事」，其中包括「超愛喝可樂」、「叫助理創一些Google假信箱寄信給NCC檢舉媒體」等，更附上前助理提供的Line群組截圖畫面，讓不少網友「熬夜追劇」，直呼「助理們可以出書了。」網紅四叉貓昨日晚間在臉書上接連發出18篇「高虹安辦公室小故事」系列文章，透露三位高虹安前助理分享的八卦小故事，包括涉嫌詐領助理費的高虹安男友「Jack」李忠庭，找了一個助理來負責替高虹安擋酒，這個助理除了要幫高虹安按摩、做水晶指甲外，還得每天把高畫成大家認得的樣子，但薪水卻是全辦公室最低。四叉貓接著爆料，高虹安辦公室每周都有「貼文績效獎金」1000元，但獎金卻是發給寫文讚數最高的小編，後來「攻城師都拿不到以後，高虹安就不發惹。」不僅如此，四叉貓補充，高虹安辦公室內部曾傳出有位主任為了追辦公室一個小妹妹還幫她代寫論文，且每次辦公室小妹睡過頭，該主任都會趁老闆進辦公室之前，先幫她在表單上登記請假半小時，但高虹安認為主任太濫用「半小時」了，所以後來改規定只能以一小時為請假單位。四叉貓更補充，高虹安辦公室發生「不止一次」性平事件，但高虹安卻用黨團名義辦理性平講座，而其理由是「避免發生林奕華辦公室事件」。另外，對於論文爭議，四叉貓指出，此事讓高虹安非常氣憤，她想叫NCC去處理那些媒體，但立委說，若私下叫NCC處理媒體很難看，因此高虹安為了顧面子，要助理創一些Google假信箱，寄信至NCC檢舉。而最令網友感到驚奇的，是高虹安的「可樂事件」。從四叉貓貼出前助理提供的Line對話截圖中可見，群組內有人發出4罐可樂被貼上封條的照片，並發公告提醒，「為避免同仁喝可樂喝到高委員想喝時沒得喝，這4罐列為戰備庫存，請同仁勿喝。若要拆封飲用前，請先去合作社買一箱新的來，確保安全存量為荷。」此貼文一出立馬吸引1.9萬名網友按讚，有網友留言表示「公雞金繳了那麼多，喝個飲料還要自己買嗎？」、「這老闆小氣的要死」、「認真覺得高虹安情緒管理有很大問題，人員管理方式也很糟」、「這篇後勁好強」、「第一次看到可樂貼封條的」。不過，也有網友抱持不同看法，「個人認為這些爆料會有反效果！」、「真無聊這個也要說，來聊聊棒球場比較實際」，而四叉貓則回應，「我就喜歡聊聊小情小愛小八卦咩。」,"['四叉貓', '夜會', '高虹安', '辦公室', '小故事', '暴動', '助理']","['網友', '媒體', '爆料', '網紅', '群組', '信箱', '同仁', '八卦', '畫面', '李忠庭', '高畫', '樣子', '文績', '效獎金', '獎金', '小編', '表單', '規定', '單位', '性平']"
